time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2018-01-24T04:00:00.0000000Z,2018-01-24T05:00:00.0000000Z,2018-01-24T04:06:03.0000000Z,2018-01-24T04:57:33.0000000Z,1602.94,1610.61,1566.51,1590.34,68.38717874,131
2018-01-24T05:00:00.0000000Z,2018-01-24T06:00:00.0000000Z,2018-01-24T05:01:52.0000000Z,2018-01-24T05:59:48.0000000Z,1590.51,1600.31,1580.0,1591.0,29.34840642,60
2018-01-24T06:00:00.0000000Z,2018-01-24T07:00:00.0000000Z,2018-01-24T06:00:26.0000000Z,2018-01-24T06:57:45.0000000Z,1591.0,1637.44,1582.06,1628.39,39.06681822,80
2018-01-24T07:00:00.0000000Z,2018-01-24T08:00:00.0000000Z,2018-01-24T07:02:47.0000000Z,2018-01-24T07:58:09.0000000Z,1623.12,1642.42,1594.4,1616.94,120.52040853,159
2018-01-24T08:00:00.0000000Z,2018-01-24T09:00:00.0000000Z,2018-01-24T08:03:17.0000000Z,2018-01-24T08:59:22.0000000Z,1617.01,1630.71,1609.64,1612.07,21.89276595,100
2018-01-24T09:00:00.0000000Z,2018-01-24T10:00:00.0000000Z,2018-01-24T09:00:34.0000000Z,2018-01-24T09:59:47.0000000Z,1612.06,1642.41,1599.02,1642.41,43.94145127,109
2018-01-24T10:00:00.0000000Z,2018-01-24T11:00:00.0000000Z,2018-01-24T10:00:19.0000000Z,2018-01-24T10:58:34.0000000Z,1642.34,1649.24,1613.99,1618.1,40.86874987,125
2018-01-24T11:00:00.0000000Z,2018-01-24T12:00:00.0000000Z,2018-01-24T11:00:42.0000000Z,2018-01-24T11:59:37.0000000Z,1617.37,1639.6,1610.0,1620.4,110.53285915,198
2018-01-24T12:00:00.0000000Z,2018-01-24T13:00:00.0000000Z,2018-01-24T12:00:13.0000000Z,2018-01-24T12:59:55.0000000Z,1620.09,1673.83,1611.47,1648.98,244.52216013,361
2018-01-24T13:00:00.0000000Z,2018-01-24T14:00:00.0000000Z,2018-01-24T13:01:11.0000000Z,2018-01-24T13:59:57.0000000Z,1653.0,1666.23,1639.27,1664.79,50.07495414,120
2018-01-24T14:00:00.0000000Z,2018-01-24T15:00:00.0000000Z,2018-01-24T14:00:00.0000000Z,2018-01-24T14:59:47.0000000Z,1664.79,1680.0,1641.01,1647.16,135.84449538,238
2018-01-24T15:00:00.0000000Z,2018-01-24T16:00:00.0000000Z,2018-01-24T15:01:43.0000000Z,2018-01-24T15:59:49.0000000Z,1645.58,1647.0,1610.0,1610.0,62.907305569,241
2018-01-24T16:00:00.0000000Z,2018-01-24T17:00:00.0000000Z,2018-01-24T16:00:02.0000000Z,2018-01-24T16:55:48.0000000Z,1610.0,1617.96,1588.9,1610.49,128.34687498,241
2018-01-24T17:00:00.0000000Z,2018-01-24T18:00:00.0000000Z,2018-01-24T17:00:50.0000000Z,2018-01-24T17:59:25.0000000Z,1610.58,1615.0,1592.04,1615.0,68.60477531,201
2018-01-24T18:00:00.0000000Z,2018-01-24T19:00:00.0000000Z,2018-01-24T18:00:36.0000000Z,2018-01-24T18:59:55.0000000Z,1615.0,1628.98,1602.57,1607.88,28.356907979,153
2018-01-24T19:00:00.0000000Z,2018-01-24T20:00:00.0000000Z,2018-01-24T19:00:34.0000000Z,2018-01-24T19:58:56.0000000Z,1607.01,1643.96,1607.01,1643.96,68.50722241,226
2018-01-24T20:00:00.0000000Z,2018-01-24T21:00:00.0000000Z,2018-01-24T20:00:02.0000000Z,2018-01-24T20:59:18.0000000Z,1643.88,1646.7,1630.9,1639.94,135.93320787,174
2018-01-24T21:00:00.0000000Z,2018-01-24T22:00:00.0000000Z,2018-01-24T21:00:24.0000000Z,2018-01-24T21:59:41.0000000Z,1637.54,1656.5,1637.54,1638.26,140.07575224,180
2018-01-24T22:00:00.0000000Z,2018-01-24T23:00:00.0000000Z,2018-01-24T22:00:18.0000000Z,2018-01-24T22:59:53.0000000Z,1638.17,1646.54,1614.89,1614.92,74.87590175,164
2018-01-24T23:00:00.0000000Z,2018-01-25T00:00:00.0000000Z,2018-01-24T23:01:13.0000000Z,2018-01-24T23:59:49.0000000Z,1620.5,1657.9,1620.5,1655.0,69.318735359,149
2018-01-25T00:00:00.0000000Z,2018-01-25T01:00:00.0000000Z,2018-01-25T00:00:00.0000000Z,2018-01-25T00:59:19.0000000Z,1652.09,1667.51,1642.32,1656.57,94.13702519,174
